original_text,english_text
https://dvent.mspbs.gov.py/todo-lo-que-tienes-que-saber-acerca-de-la-ii-encuesta-nacional-de-factores-de-riesgo/ https://dvent.mspbs.gov.py/estrategia-nacional-para-la-prevencion-y-el-control-de-la-obesidad-2015-2025/ https://dvent.mspbs.gov.py/plan-operacional-para-la-implementacion-de-la-estrategia-nacional-para-la-prevencion-y-el-control-de-la-obesidad-2015-2025/ https://dvent.mspbs.gov.py/politica-de-promocion-de-la-actividad-fisica-con-enfoque-en-el-ciclo-vital/ https://dvent.mspbs.gov.py/politica-nacional-de-prevencion-del-consumo-nocivo-de-bebidas-alcoholicas/ https://dvent.mspbs.gov.py/analisis-de-la-situacion-de-las-enfermedades-cronicas-no-transmisibles/ https://dgvs.mspbs.gov.py/wp-content/uploads/2023/08/Informe-CARGA-de-la-enfermedad-publicacion-DGVS.pdf,https://dvent.mspbs.gov.py/todo-lo-que-tienes-que-saber-acerca-de-la-ii-encuesta-nacional-de-factores-de-riesgo/ https://dvent.mspbs.gov.py/estrategia-nacional-para-la-prevencion-y-el-control-de-la-obesidad-2015-2025/ https://dvent.mspbs.gov.py/plan-operacional-para-la-implementacion-de-la-estrategia-nacional-para-la-prevencion-y-el-control-de-la-obesidad-2015-2025/ https://dvent.mspbs.gov.py/politica-de-promocion-de-la-actividad-fisica-con-enfoque-en-el-ciclo-vital/ https://dvent.mspbs.gov.py/politica-nacional-de-prevencion-del-consumo-nocivo-de-bebidas-alcoholicas/ https://dvent.mspbs.gov.py/analisis-de-la-situacion-de-las-enfermedades-cronicas-no-transmisibles/ https://dgvs.mspbs.gov.py/wp-content/uploads/2023/08/Informe-CARGA-de-la-enfermedad-publicacion-DGVS.pdf
https://estadistica.mineduc.gob.gt/anuario/,https://estadistica.mineduc.gob.gt/anuario/
https://estadisticas.minsalud.gob.bo/ https://snis.minsalud.gob.bo,https://estadisticas.minsalud.gob.bo/ https://snis.minsalud.gob.bo
https://fpublico.mef.gob.pa/es,https://fpublico.mef.gob.pa/es
https://gobiernoabierto.gob.pa/gobierno-abierto/  https://www.antai.gob.pa/,https://gobiernoabierto.gob.pa/gobierno-abierto/  https://www.antai.gob.pa/
https://health.gov.vc/health/index.php/health-information-system,https://health.gov.vc/health/index.php/health-information-system
https://observatorio.arce.gub.uy/eportal/  https://www.gub.uy/agencia-reguladora-compras-estatales/datos-y-estadisticas/datos,https://observatorio.arce.gub.uy/eportal/  https://www.gub.uy/agencia-reguladora-compras-estatales/datos-y-estadisticas/datos
https://oncae.gob.hn/biblioteca-virtual/manuales-y-guias,https://oncae.gob.hn/biblioteca-virtual/manuales-y-guias
https://oncae.gob.hn/ciudadania/informes-y-boletines  https://contratacionesabiertas.gob.hn/,https://oncae.gob.hn/ciudadania/informes-y-boletines  https://contratacionesabiertas.gob.hn/
https://pai.mspbs.gov.py/mapainteractivocovid-19/  https://sistemasdgvs.mspbs.gov.py/sistemas/itdgvsops/ https://sistemasdgvs.mspbs.gov.py/sistemas/itdgvs/ https://sistemasdgvs.mspbs.gov.py/sistemas/dashboardeno/ https://dgvs.mspbs.gov.py/reporte-eno/ https://dgvs.mspbs.gov.py/boletin-epidemiologico-semanal/ https://dgvs.mspbs.gov.py/reporte-covid-19/ https://dgvs.mspbs.gov.py/evolucion-del-covid-19/ https://dgvs.mspbs.gov.py/mapa-de-riesgo-covid-19/ https://sistemasdgvs.mspbs.gov.py/webdgvs/page/#vista_tablero_exceso_mortalidad_covid19.html https://dgvs.mspbs.gov.py/arbovirosis/ https://dgvs.mspbs.gov.py/tablero-senepa-2023/ https://dgvs.mspbs.gov.py/inundaciones/ https://dgvs.mspbs.gov.py/eventos_ambientales/ https://dgvs.mspbs.gov.py/infecciones-respiratorias-agudas-y-graves/ https://dgvs.mspbs.gov.py/meningoencefalitis/ https://dgvs.mspbs.gov.py/influenzaaviar/ https://dgvs.mspbs.gov.py/vigicanpy/ https://diabetes.mspbs.gov.py/ https://dgvs.mspbs.gov.py/informes-anuales2/,https://pai.mspbs.gov.py/mapainteractivocovid-19/  https://sistemasdgvs.mspbs.gov.py/sistemas/itdgvsops/ https://sistemasdgvs.mspbs.gov.py/sistemas/itdgvs/ https://sistemasdgvs.mspbs.gov.py/sistemas/dashboardeno/ https://dgvs.mspbs.gov.py/reporte-eno/ https://dgvs.mspbs.gov.py/boletin-epidemiologico-semanal/ https://dgvs.mspbs.gov.py/reporte-covid-19/ https://dgvs.mspbs.gov.py/evolucion-del-covid-19/ https://dgvs.mspbs.gov.py/mapa-de-riesgo-covid-19/ https://sistemasdgvs.mspbs.gov.py/webdgvs/page/#vista_tablero_exceso_mortalidad_covid19.html https://dgvs.mspbs.gov.py/arbovirosis/ https://dgvs.mspbs.gov.py/tablero-senepa-2023/ https://dgvs.mspbs.gov.py/inundaciones/ https://dgvs.mspbs.gov.py/eventos_ambientales/ https://dgvs.mspbs.gov.py/infecciones-respiratorias-agudas-y-graves/ https://dgvs.mspbs.gov.py/meningoencefalitis/ https://dgvs.mspbs.gov.py/influenzaaviar/ https://dgvs.mspbs.gov.py/vigicanpy/ https://diabetes.mspbs.gov.py/ https://dgvs.mspbs.gov.py/informes-anuales2/
https://portal.mspbs.gov.py/digies/ https://dgvs.mspbs.gov.py/ https://dvent.mspbs.gov.py/,https://portal.mspbs.gov.py/digies/ https://dgvs.mspbs.gov.py/ https://dvent.mspbs.gov.py/
https://pyenresultados.rindiendocuentas.gov.py/ https://ppr.hacienda.gov.py/?page_id=2209 https://www.economia.gov.py/index.php/datos-economicos/deuda-publica https://www.economia.gov.py/index.php/datos-economicos/situacion-financiera-del-paraguay-situfin https://www.mef.gov.py/web-contabilidad/index.php?c=306,https://pyenresultados.rindiendocuentas.gov.py/ https://ppr.hacienda.gov.py/?page_id=2209 https://www.economia.gov.py/index.php/datos-economicos/deuda-publica https://www.economia.gov.py/index.php/datos-economicos/situacion-financiera-del-paraguay-situfin https://www.mef.gov.py/web-contabilidad/index.php?c=306
https://sace.se.gob.hn  https://sart.se.gob.hn,https://sace.se.gob.hn  https://sart.se.gob.hn
https://sace.se.gob.hn  https://sart.se.gob.hn  https://planmaestro.se.gob.hn,https://sace.se.gob.hn  https://sart.se.gob.hn  https://planmaestro.se.gob.hn
https://sart.se.gob.hn,https://sart.se.gob.hn
https://seie.minedu.gob.bo/ https://reportes.sie.gob.bo/reporteestadistico/,https://seie.minedu.gob.bo/ https://reportes.sie.gob.bo/reporteestadistico/
https://sige.mineduc.cl/Sige/Login,https://sige.mineduc.cl/Sige/Login
https://simeplans.minsa.gob.pa/login.zul,https://simeplans.minsa.gob.pa/login.zul
https://tamis.bra.gov.bb https://tableau.bra.gov.bb,https://tamis.bra.gov.bb https://tableau.bra.gov.bb
https://tesourogerencial.tesouro.gov.br/,https://tesourogerencial.tesouro.gov.br/
https://www.datosabiertos.gob.pa/,https://www.datosabiertos.gob.pa/
"https://www.datosabiertos.gob.pa/  https://www.mef.gob.pa/ en la sección de documentos, finanzas públicas.","https://www.datosabiertos.gob.pa/  https://www.mef.gob.pa/ en la sección de documentos, finanzas públicas."
https://www.diger.gob.hn/sigpret,https://www.diger.gob.hn/sigpret
https://www.economiayfinanzas.gob.bo/index.php/saldos-y-cuentas-  fiscales-vpcf   https://www.economiayfinanzas.gob.bo/index.php/viceministerios/vpcf/presupuesto-ciudadano https://www.economiayfinanzas.gob.bo/index.php/transparencia-memorias-institucionales https://www.economiayfinanzas.gob.bo/cartillas https://www.economiayfinanzas.gob.bo/boletines https://www.economiayfinanzas.gob.bo/index.php/ejecucion-sector-publico-no-financiero https://www.economiayfinanzas.gob.bo/ https://www.economiayfinanzas.gob.bo/index.php/boletines,https://www.economiayfinanzas.gob.bo/index.php/saldos-y-cuentas-  fiscales-vpcf   https://www.economiayfinanzas.gob.bo/index.php/viceministerios/vpcf/presupuesto-ciudadano https://www.economiayfinanzas.gob.bo/index.php/transparencia-memorias-institucionales https://www.economiayfinanzas.gob.bo/cartillas https://www.economiayfinanzas.gob.bo/boletines https://www.economiayfinanzas.gob.bo/index.php/ejecucion-sector-publico-no-financiero https://www.economiayfinanzas.gob.bo/ https://www.economiayfinanzas.gob.bo/index.php/boletines
https://www.gojep.gov.jm/epps/home.do http://pedms.ppc.gov.jm,https://www.gojep.gov.jm/epps/home.do http://pedms.ppc.gov.jm
https://www.gub.uy/agencia-reguladora-compras-estatales/,https://www.gub.uy/agencia-reguladora-compras-estatales/
https://www.impo.com.uy/bases/leyes/18381-2008,https://www.impo.com.uy/bases/leyes/18381-2008
https://www.mef.gob.pa/presupuesto-abierto-2022/ https://www.datosabiertos.gob.pa/  https://sipres.mef.gob.pa/SIPRES/index.php,https://www.mef.gob.pa/presupuesto-abierto-2022/ https://www.datosabiertos.gob.pa/  https://sipres.mef.gob.pa/SIPRES/index.php
https://www.mef.gov.py/web-contabilidad/index.php?c=306 https://www.mef.gov.py/web-presupuesto/index.php?c=348 https://www.mef.gov.py/situfin/,https://www.mef.gov.py/web-contabilidad/index.php?c=306 https://www.mef.gov.py/web-presupuesto/index.php?c=348 https://www.mef.gov.py/situfin/
https://www.mef.gov.py/web-presupuesto/ https://www.mef.gov.py/web-presupuesto/index.php?c=356 https://ppr.hacienda.gov.py/ http://168.90.176.79:8080/gastos_anual/ https://pyenresultados.rindiendocuentas.gov.py/ https://datos.hacienda.gov.py/ https://www.economia.gov.py/application/files/9716/9891/9507/IFP_PGN_2024__Final.pdf https://www.economia.gov.py/index.php/informes-y-publicaciones,https://www.mef.gov.py/web-presupuesto/ https://www.mef.gov.py/web-presupuesto/index.php?c=356 https://ppr.hacienda.gov.py/ http://168.90.176.79:8080/gastos_anual/ https://pyenresultados.rindiendocuentas.gov.py/ https://datos.hacienda.gov.py/ https://www.economia.gov.py/application/files/9716/9891/9507/IFP_PGN_2024__Final.pdf https://www.economia.gov.py/index.php/informes-y-publicaciones
https://www.onsec.gob.gt/w/index.php/estadisticas-del-recurso-humano-del-organismo-ejecutivo/,https://www.onsec.gob.gt/w/index.php/estadisticas-del-recurso-humano-del-organismo-ejecutivo/
https://www.onsec.gob.gt/w1/index.php/siarh-2/,https://www.onsec.gob.gt/w1/index.php/siarh-2/
https://www.panamacompra.gob.pa/Inicio/#/ https://www.panamacompraencifras.gob.pa/#/ https://www.panamaenobras.gob.pa/#/,https://www.panamacompra.gob.pa/Inicio/#/ https://www.panamacompraencifras.gob.pa/#/ https://www.panamaenobras.gob.pa/#/
https://www.salud.gob.hn/sshome/,https://www.salud.gob.hn/sshome/
https://www.sefin.gob.hn/ https://www.sefin.gob.hn/presupuesto-aprobado-2024/,https://www.sefin.gob.hn/ https://www.sefin.gob.hn/presupuesto-aprobado-2024/
https://www.sefin.gob.hn/ejecucion-y-seguimiento/,https://www.sefin.gob.hn/ejecucion-y-seguimiento/
https://www.sefin.gob.hn/presupuesto-aprobado-2024/ https://www.sefin.gob.hn/ejecucion-y-seguimiento/ https://www.sefin.gob.hn/inteligencia-de-negocios-bisefin/ https://www.sefin.gob.hn/informes/ https://www.sefin.gob.hn/estados-financieros/,https://www.sefin.gob.hn/presupuesto-aprobado-2024/ https://www.sefin.gob.hn/ejecucion-y-seguimiento/ https://www.sefin.gob.hn/inteligencia-de-negocios-bisefin/ https://www.sefin.gob.hn/informes/ https://www.sefin.gob.hn/estados-financieros/
https://www.sicoes.gob.bo/  https://www.sicoes.gob.bo/portal/normativa/decretos.php --> Manual de Operaciones del SICOES,https://www.sicoes.gob.bo/  https://www.sicoes.gob.bo/portal/normativa/decretos.php --> Manual de Operaciones del SICOES
https://www.sii.cl/destacados/catalogo_esquemas/ https://www.sii.cl/destacados/PGCT2024.pdf https://www.sii.cl/cuenta_publica/CP2023.pdf,https://www.sii.cl/destacados/catalogo_esquemas/ https://www.sii.cl/destacados/PGCT2024.pdf https://www.sii.cl/cuenta_publica/CP2023.pdf
https://www.sii.cl/sobre_el_sii/gestion_y_estadisticas.html https://www.sii.cl/destacados/ogp/index.html,https://www.sii.cl/sobre_el_sii/gestion_y_estadisticas.html https://www.sii.cl/destacados/ogp/index.html
sace.se.gob.hn https://sace.se.gob.hn/reportes/sace/matricula/,sace.se.gob.hn https://sace.se.gob.hn/reportes/sace/matricula/
www.dgsc.go.cr http://seguridadapp.dgsc.go.cr/inicio.aspx https://consultanormativa.dgsc.go.cr/ https://campus.dgsc.go.cr/ https://piep.dgsc.go.cr/ www.dgsc.go.cr/CIDSECI,www.dgsc.go.cr http://seguridadapp.dgsc.go.cr/inicio.aspx https://consultanormativa.dgsc.go.cr/ https://campus.dgsc.go.cr/ https://piep.dgsc.go.cr/ www.dgsc.go.cr/CIDSECI
www.hacienda.go.cr https://www.sicop.go.cr/index.jsp,www.hacienda.go.cr https://www.sicop.go.cr/index.jsp
www.panamacompra.gob.pa,www.panamacompra.gob.pa
www.sii.cl,www.sii.cl
www.sii.cl https://www.sii.cl/destacados/,www.sii.cl https://www.sii.cl/destacados/
"(La entidad que completó el cuestionario marcó en el doc en word como respuesta 2 opciones:   Unidad/equipo centralizada/o (p. ej., una única unidad de análisis de datos a nivel federal apoyando a todas las entidades federales) Unidad/equipo descentralizada/o (p.ej., unidades de análisis de datos a nivel de entidad apoyando exclusivamente a dicha entidad federal)","(The entity that completed the questionnaire marked 2 answer options in the Word document: Centralized unit/team (e.g., a single data analytics unit at the federal level supporting all federal entities) Decentralized unit/team (e.g., entity-level data analytics units supporting exclusively that federal entity)"
* https://srienlinea.sri.gob.ec/sri-en-linea/inicio/NAT  (página web donde indica los servicios en línea ofrecidos a la ciudadanía) * Sistema de Gestión Documental Quipux,* https://srienlinea.sri.gob.ec/sri-en-linea/inicio/NAT (web page showing the online services offered to citizens) * Quipux Document Management System
", corresponde informar que se cuenta con un relevamiento de todos los Edificios Educativos de la Administración Nacional de Educación Pública.",", it should be noted that a survey/inventory has been carried out of all Educational Buildings of the National Administration of Public Education."
1) Página web institucional de la DGSC 2) Remisión de informes con resultados 3) Investigaciones realizadas sobre la gestión de recursos humanos 4) El Observatorio investigación que realizar el Área de Desarrollo Estratégico de la ADE sobre el acontecer en temas de gestión de recursos humanos 5) El Sistema del Centro de Información Documental (CIDSECI) se encuentra en nuestra página web y permite tener acceso a los diversos estudios realizados por parte de esta Dirección General en materia de recursos humanos. 6) Plataforma Integrada de Empleo Público,1) DGSC institutional website 2) Submission of results reports 3) Research conducted on human resource management 4) The research Observatory run by the ADE's Strategic Development Area on human resource management topics 5) The Documentation Information Center System (CIDSECI) is available on our website and provides access to the various studies carried out by this Directorate General on human resources matters. 6) Integrated Public Employment Platform
"1- Se tiene un sistema complementario, el SGH2.0 donde se lleva registro de presentismo y licencias de todos los funcionarios. Se obtiene regularmente información de este sistema para análisis.  2- Se cuenta con otro sistema (RVE, Registro de vínculos con el estado) que almacena información sobre Sumarios y otras inhabilitaciones con documentación asociada.  3- Para transparencia se tienen 2 sitios que publican información de vínculos con el estado:  3.1- Quienes trabajan en el estado Uruguayo: https://rve.onsc.gub.uy/BuscadorPersona/servlet/com.buscadorpersona.wpbuscarpersonas  3.2- Visualizador de Datos (indicadores de vínculos y demográficos)  - https://aplicaciones.onsc.gub.uy/pentaho/api/repos/public:ONSC:demografico.wcdf/generatedContent - https://aplicaciones.onsc.gub.uy/pentaho/api/repos/:public:ONSC:vinculos.wcdf/generatedContent  Los procesos de selección y su avance se publican en el sitio https://www.uruguayconcursa.gub.uy/","1- There is a complementary system, SGH2.0, which keeps a record of attendance and leave for all employees. Information from this system is regularly obtained for analysis.  2- There is another system (RVE, Registry of Ties with the State) that stores information on disciplinary proceedings and other disqualifications, with associated documentation.  3- For transparency, there are 2 sites that publish information on ties with the state:  3.1- Who works for the Uruguayan state: https://rve.onsc.gub.uy/BuscadorPersona/servlet/com.buscadorpersona.wpbuscarpersonas  3.2- Data Viewer (demographic and employment-tie indicators) - https://aplicaciones.onsc.gub.uy/pentaho/api/repos/public:ONSC:demografico.wcdf/generatedContent - https://aplicaciones.onsc.gub.uy/pentaho/api/repos/:public:ONSC:vinculos.wcdf/generatedContent  Selection processes and their progress are published at https://www.uruguayconcursa.gub.uy/"
A Secretaria Especial da Receita Federal do Brasil publica alguns dados agregados em https://dados.gov.br/home,The Special Secretariat of the Federal Revenue of Brazil publishes some aggregated data at https://dados.gov.br/home
A continuación se tiene uno de los ejemplos que se tienen para el análisis descriptivo mediante los informes de segmentación de contribuyentes: https://www.dian.gov.co/atencionciudadano/promesaservicio/Documents/Guia-Metodologica-Segmentacion-de-Contribuyentes-2019.pdf,Below is one of the examples available for descriptive analysis through taxpayer segmentation reports: https://www.dian.gov.co/atencionciudadano/promesaservicio/Documents/Guia-Metodologica-Segmentacion-de-Contribuyentes-2019.pdf
"A nivel de la DTIC se han definido procedimientos y políticas, relacionados con la seguridad de la información y permisos de acceso a las aplicaciones, lo cual aplica también para las aplicaciones de analítica dispuestas actualmente. Así mismo, a nivel del Ministerio de Hacienda se encuentra la política de Seguridad de la Información, la cual establecer las disposiciones sobre la protección de los activos de información, los procesos, las tecnologías de la información incluido el hardware y el software, que soportan los procesos de la Entidad y apoyan la implementación del Sistema de Gestión de Seguridad de la Información.","At the DTIC (Directorate of Information and Communication Technologies) level, procedures and policies have been defined related to information security and access permissions to applications, which also apply to the analytics applications currently in place. Likewise, the Ministry of Finance has an Information Security Policy, which establishes provisions on the protection of information assets, processes, and information technologies -- including hardware and software -- that support the Entity's processes and the implementation of the Information Security Management System."
"A nivel de la Dirección de Tecnologías de Información y Comunicación se han definido procedimientos y políticas, relacionados con la seguridad de la información y permisos de acceso a las aplicaciones, lo cual aplica también para las aplicaciones de analítica dispuestas actualmente. Así mismo, a nivel del Ministerio de Hacienda se encuentra la política de Seguridad de la Información, la cual establecer las disposiciones sobre la protección de los activos de información, los procesos, las tecnologías de la información incluido el hardware y el software, que soportan los procesos de la Entidad y apoyan la implementación del Sistema de Gestión de Seguridad de la Información.  MH-DTIC-PRO02-PCD-001 Ingreso Movim o Finaliz Relac Laborales MH.  MH-DTIC-PRO02-PCD-005 Procedimiento Gestión Accesos Sist de Inf Política Corporativa de Seguridad de la Información","At the level of the Directorate of Information and Communication Technologies, procedures and policies have been defined related to information security and access permissions to applications, which also apply to the analytics applications currently in place. Likewise, the Ministry of Finance has an Information Security Policy, which establishes provisions on the protection of information assets, processes, and information technologies -- including hardware and software -- that support the Entity's processes and the implementation of the Information Security Management System.  MH-DTIC-PRO02-PCD-001 Entry, Movement or Termination of MH Labor Relations.  MH-DTIC-PRO02-PCD-005 Information Systems Access Management Procedure, Corporate Information Security Policy"
A nivel nacional existe la ley LIBRE ACCESO CIUDADANO A LA INFORMACIÓN PÚBLICA Y TRANSPARENCIA GUBERNAMENTAL.,At the national level there is the FREE CITIZEN ACCESS TO PUBLIC INFORMATION AND GOVERNMENT TRANSPARENCY law.
"A parte de las respondidas en q27, existen otros convenios de intercambio y  entrega de información entre ellas, Banco Central de Chile, Municipios, Dirección del Trabajo, Contraloría General de la república, Poder Judicial de Chile.","Beyond those answered in q27, there are other information-exchange and data-sharing agreements with, among others, the Central Bank of Chile, Municipalities, the Labor Directorate, the Office of the Comptroller General of the Republic, and the Judiciary of Chile."
A request for specific information is sent to IhRIS to provide information.  Information from IhRIS is received via an email.,A request for specific information is sent to IhRIS to provide information.  Information from IhRIS is received via an email.
A través de la Dirección General de Planificación; Viceministerios o Despacho del Ministro(a).,Through the General Directorate of Planning; Vice-Ministries or the Minister's Office.
A través de los Convenios.,Through agreements.
A través del BID,Through the IDB
"A través del Manual de Operaciones del SICOES se establece el tipo de información a ser publicada, misma que almacena la información en los diferentes formularios.  https://www.sicoes.gob.bo/portal/normativa/decretos.php --> Manual de operaciones del SICOES","The SICOES Operations Manual establishes the type of information to be published, which stores the information in the different forms.  https://www.sicoes.gob.bo/portal/normativa/decretos.php --> SICOES Operations Manual"
"A través del Manual de Operaciones del SICOES se establece el tipo de información a ser publicada, que es de acceso gratuito y en línea.  https://www.sicoes.gob.bo/portal/normativa/decretos.php --> Manual de operaciones del SICOES","The SICOES Operations Manual establishes the type of information to be published, which is freely accessible online.  https://www.sicoes.gob.bo/portal/normativa/decretos.php --> SICOES Operations Manual"
"A) PROYECTO - AMPLIACION DE SERVIDORES DATAWARE E IMPLEMENTACIÓN DE BIG DATA ANTECEDENTES Y TECNOLOGIAS Este proyecto fue materializado a través de un llamado a Licitación Pública Nacional, a finales del año 2019, para la implementación del proyecto se contó con las siguientes tecnologías: • Exadata: servidor de ingeniería de Oracle que proporciona recursos de alto rendimiento para el almacenamiento y procesamiento de gran volumen de datos, para el efecto se instaló un nuevo Data Warehouse, este responde a las exigencias actuales y futuras ya que es un Hardware construido para gestionar base de datos Oracle, es decir, está enfocado en específico para dicha tarea. • Big Data Appliance: servidor de ingeniería de Oracle enfocado al procesamiento de grandes volúmenes de datos, a diferencia del Exadata, es capaz de procesar tanto datos estructurados como no estructurados. • Modelos Analíticos: para los distintos casos de uso se aplicó algoritmos de detección que a partir de los datos de la SET son capaces de predecir comportamientos en base a los indicadores. • Machine Learning: algoritmo que según la fuente de datos permite detectar contribuyentes con comportamiento similar para clasificarlos y permitir un estudio de los mismos. • Aplicación Web: aplicación que permite calcular el riesgo de un contribuyente a partir de los indicadores seleccionados por el usuario. • Redes Sociales: constituyen fuentes Facebook y Twitter sobre los cuales se aplica un modelo de sentimiento sobre los comentarios. • Oracle Analytics Server: herramienta que permite la creación sencilla y rápida de análisis a partir los resultados de los casos de uso. Fase 1 La fase 1 consistió en migrar el data warehouse existente a un servidor de ingeniería Oracle optimizado para el manejo de gran volumen de datos que es el Exadata y la migración del Oracle Business Intelligence a la nueva versión denominada Oracle Analytics Server instalado en uno de los nodos del Big Data Appliance. Fase 2 Implementación de","A) PROJECT - EXPANSION OF DATAWARE SERVERS AND BIG DATA IMPLEMENTATION, BACKGROUND AND TECHNOLOGIES. This project was carried out through a National Public Tender at the end of 2019; the following technologies were used to implement it: * Exadata: an Oracle engineered server that provides high-performance resources for storing and processing large volumes of data; for this purpose a new Data Warehouse was installed, meeting current and future requirements, as it is hardware built specifically to manage Oracle databases. * Big Data Appliance: an Oracle engineered server focused on processing large volumes of data; unlike Exadata, it can process both structured and unstructured data. * Analytical Models: detection algorithms were applied for the different use cases, capable of predicting behavior from SET data based on indicators. * Machine Learning: an algorithm that, depending on the data source, detects taxpayers with similar behavior in order to classify them and enable further study. * Web Application: an application that calculates a taxpayer's risk based on indicators selected by the user. * Social Networks: Facebook and Twitter are used as sources on which a sentiment model is applied to comments. * Oracle Analytics Server: a tool that allows quick and easy creation of analyses based on the results of the use cases. Phase 1: consisted of migrating the existing data warehouse to an Oracle engineered server optimized for handling large volumes of data (Exadata) and migrating Oracle Business Intelligence to the new version called Oracle Analytics Server, installed on one of the Big Data Appliance nodes. Phase 2: Implementation of"
Access granted on request and verification,Access granted on request and verification
"Access is provided based on the work assignment and level of authority of an employee, restricted to those working in HR and management levels. A form request is submitted to the central Information System Unit which regulates access to the system.","Access is provided based on the work assignment and level of authority of an employee, restricted to those working in HR and management levels. A form request is submitted to the central Information System Unit which regulates access to the system."
Actualmente contamos con la asistencia del Banco Interamericano de Desarrollo (BID) para el desarrollo de plataformas de transparencia de información y analítica de datos.,We currently have the support of the Inter-American Development Bank (IDB) for the development of information-transparency and data-analytics platforms.
Actualmente estamos en proceso de evaluación de los mecanismos para medir la frecuencia de acceso a los datos por parte de entidades gubernamentales.,We are currently in the process of evaluating mechanisms to measure how often government entities access the data.
